tau,WaX_nd,WaY_nd
16.650441,1.136061e-01,-3.086167e-01
16.685348,1.167477e-01,-3.058254e-01
16.720254,1.198127e-01,-3.029409e-01
16.755161,1.228014e-01,-2.999641e-01
16.790067,1.257143e-01,-2.968959e-01
16.824974,1.285520e-01,-2.937373e-01
16.859881,1.313150e-01,-2.904892e-01
16.894787,1.340040e-01,-2.871526e-01
16.929694,1.366195e-01,-2.837286e-01
16.964600,1.391623e-01,-2.802181e-01
16.999507,1.416332e-01,-2.766223e-01
17.034413,1.440328e-01,-2.729422e-01
17.069320,1.463621e-01,-2.691790e-01
17.104227,1.486219e-01,-2.653338e-01
17.139133,1.508131e-01,-2.614077e-01
17.174040,1.529366e-01,-2.574021e-01
17.208946,1.549934e-01,-2.533180e-01
17.243853,1.569844e-01,-2.491568e-01
17.278760,1.589106e-01,-2.449196e-01
17.313666,1.607731e-01,-2.406079e-01
17.348573,1.625728e-01,-2.362229e-01
17.383479,1.643109e-01,-2.317659e-01
17.418386,1.659884e-01,-2.272383e-01
17.453293,1.676064e-01,-2.226415e-01
17.488199,1.691660e-01,-2.179769e-01
17.523106,1.706683e-01,-2.132458e-01
17.558012,1.721144e-01,-2.084499e-01
17.592919,1.735054e-01,-2.035904e-01
17.627825,1.748424e-01,-1.986689e-01
17.662732,1.761266e-01,-1.936869e-01
17.697639,1.773590e-01,-1.886459e-01
17.732545,1.785408e-01,-1.835474e-01
17.767452,1.796730e-01,-1.783930e-01
17.802358,1.807568e-01,-1.731843e-01
17.837265,1.817932e-01,-1.679229e-01
17.872172,1.827832e-01,-1.626102e-01
17.907078,1.837280e-01,-1.572481e-01
17.941985,1.846285e-01,-1.518380e-01
17.976891,1.854857e-01,-1.463817e-01
18.011798,1.863007e-01,-1.408808e-01
18.046704,1.870745e-01,-1.353370e-01
18.081611,1.878078e-01,-1.297520e-01
18.116518,1.885018e-01,-1.241274e-01
18.151424,1.891571e-01,-1.184651e-01
18.186331,1.897748e-01,-1.127666e-01
18.221237,1.903556e-01,-1.070338e-01
18.256144,1.909003e-01,-1.012684e-01
18.291051,1.914097e-01,-9.547214e-02
18.325957,1.918845e-01,-8.964680e-02
18.360864,1.923253e-01,-8.379416e-02
18.395770,1.927328e-01,-7.791599e-02
18.430677,1.931077e-01,-7.201409e-02
18.465583,1.934505e-01,-6.609025e-02
18.500490,1.937617e-01,-6.014629e-02
18.535397,1.940417e-01,-5.418400e-02
18.570303,1.942911e-01,-4.820520e-02
