crank_deg,WaX_dim_N,WaY_dim_N
418.000,-5580.325,-8853.382
419.000,-5394.826,-8939.414
420.000,-5209.880,-9023.776
421.000,-5025.427,-9106.336
422.000,-4841.430,-9186.968
423.000,-4657.865,-9265.556
424.000,-4474.724,-9341.992
425.000,-4292.011,-9416.175
426.000,-4109.741,-9488.012
427.000,-3927.940,-9557.416
428.000,-3746.643,-9624.310
429.000,-3565.889,-9688.621
430.000,-3385.726,-9750.284
431.000,-3206.206,-9809.238
432.000,-3027.385,-9865.431
433.000,-2849.322,-9918.812
434.000,-2672.080,-9969.338
435.000,-2495.721,-10016.969
436.000,-2320.311,-10061.669
437.000,-2145.914,-10103.406
438.000,-1972.598,-10142.151
439.000,-1800.427,-10177.880
440.000,-1629.466,-10210.569
441.000,-1459.781,-10240.199
442.000,-1291.435,-10266.751
443.000,-1124.490,-10290.212
444.000,-959.006,-10310.567
445.000,-795.044,-10327.805
446.000,-632.660,-10341.917
447.000,-471.911,-10352.896
448.000,-312.850,-10360.733
449.000,-155.530,-10365.426
450.000,-0.000,-10366.970
451.000,153.692,-10365.363
452.000,305.499,-10360.605
453.000,455.380,-10352.695
454.000,603.291,-10341.635
455.000,749.195,-10327.429
456.000,893.055,-10310.078
457.000,1034.835,-10289.589
458.000,1174.503,-10265.967
459.000,1312.030,-10239.220
460.000,1447.388,-10209.354
461.000,1580.550,-10176.379
462.000,1711.494,-10140.305
463.000,1840.199,-10101.142
464.000,1966.646,-10058.903
465.000,2090.817,-10013.600
466.000,2212.699,-9965.247
467.000,2332.279,-9913.859
468.000,2449.547,-9859.451
469.000,2564.495,-9802.040
470.000,2677.117,-9741.643
471.000,2787.408,-9678.278
472.000,2895.367,-9611.966
473.000,3000.994,-9542.726
474.000,3104.290,-9470.579
475.000,3205.259,-9395.547
476.000,3303.906,-9317.653
477.000,3400.240,-9236.921
478.000,3494.268,-9153.375
479.000,3586.002,-9067.042
480.000,3675.455,-8977.946
481.000,3762.640,-8886.115
482.000,3847.572,-8791.578
483.000,3930.269,-8694.363
484.000,4010.749,-8594.499
485.000,4089.031,-8492.017
486.000,4165.138,-8386.949
487.000,4239.091,-8279.326
488.000,4310.913,-8169.180
489.000,4380.629,-8056.547
490.000,4448.265,-7941.459
491.000,4513.848,-7823.953
492.000,4577.405,-7704.063
493.000,4638.964,-7581.826
494.000,4698.554,-7457.280
495.000,4756.206,-7330.462
496.000,4811.949,-7201.411
497.000,4865.816,-7070.167
498.000,4917.837,-6936.769
499.000,4968.045,-6801.258
500.000,5016.472,-6663.676
501.000,5063.151,-6524.063
502.000,5108.114,-6382.463
503.000,5151.396,-6238.919
504.000,5193.029,-6093.475
505.000,5233.046,-5946.174
